rank,contact_week,risk_band,licencenumber,businessname,businesstype,localarea,numberofemployees,risk_score
65,7,medium,24-269791,(Shayna Anahi Nunez Alvarez),Food Manufacturer Assembler and Processor,Strathcona,1.0,0.409
66,7,medium,24-229706,Kits Beach Coffee Inc,Restaurant,Kitsilano,12.0,0.405
67,7,medium,24-148468,Tractor Everyday Healthy Foods Ltd,Restaurant,Kitsilano,12.0,0.405
68,7,medium,24-148157,581787 BC Ltd,Restaurant,Grandview-Woodland,25.0,0.402
69,7,medium,24-229167,OLIVIER'S LA BOULANGERIE (003) LTD.,Restaurant,Riley Park,6.0,0.401
70,7,medium,24-285416,NAPOLETANA PIZZA LTD.,Restaurant,Riley Park,6.0,0.401
71,8,low,24-154011,H & G Tan Enterprises Inc,Wholesale Dealer - Food,Marpole,2.0,0.4
72,8,low,24-201154,(Pablo Gonzalez),Wholesale Dealer - Food,Marpole,2.0,0.4
73,8,low,24-231279,Sultan Enterprises Inc,Limited Service Food Establishment,West End,5.0,0.396
74,8,low,24-253596,MCMASTER GROUP HOLDINGS INC.,Limited Service Food Establishment,Marpole,4.0,0.395
75,8,low,24-236273,NGUYEN & PHAM ENTERPRISES INC.,Limited Service Food Establishment,Downtown,6.0,0.394
76,8,low,24-226064,1420636 BC Ltd,Limited Service Food Establishment,Downtown,6.0,0.394
77,8,low,24-179168,YYDS FOOD SERVICE LTD.,Restaurant,Marpole,4.0,0.392
78,8,low,24-275783,1494267 BC Ltd,Limited Service Food Establishment,West End,2.0,0.388
79,8,low,24-241558,1468433 BC Ltd,Limited Service Food Establishment,Killarney,0.0,0.385
80,8,low,24-229382,Jin Wei House Restaurant Ltd,Limited Service Food Establishment,Arbutus-Ridge,0.0,0.385
81,9,low,24-290687,Hane Foods Ltd,Limited Service Food Establishment,Riley Park,4.0,0.379
82,9,low,24-129683,SHINE TREE TRADING LTD,Limited Service Food Establishment,Riley Park,5.0,0.379
83,9,low,24-149483,CHICKEN BOX SOUTH MAIN LTD,Restaurant,Riley Park,12.0,0.378
84,9,low,24-266681,THE HARD BEAN BRUNCH CO. WATERFRONT INC.,Restaurant,Downtown,50.0,0.369
85,9,low,24-229698,1478952 BC LTD,Limited Service Food Establishment,West End,0.0,0.368
86,9,low,24-149558,Ahluwalia Hospitality Coal Harbor Ltd,Restaurant,Downtown,80.0,0.367
87,9,low,24-148583,Tacofino Gastown Inc,Restaurant,Downtown,80.0,0.367
88,9,low,24-148236,0768638 BC Ltd,Restaurant,Arbutus-Ridge,7.0,0.363
89,9,low,24-148290,New Chongqing Food and Beverage Ltd,Restaurant,Kerrisdale,7.0,0.363
90,9,low,24-223254,A Bosa & Co Ltd,Retail Dealer - Food,Hastings-Sunrise,89.0,0.357
91,10,low,24-201139,1427462 BC Ltd,Restaurant,West End,38.0,0.355
92,10,low,24-287948,Barakat Halal Meat & Grocery Corporation,Limited Service Food Establishment,Hastings-Sunrise,6.0,0.346
93,10,low,24-232284,KOREAN SPARKY CHICKEN LTD.,Limited Service Food Establishment,Kensington-Cedar Cottage,6.0,0.342
94,10,low,24-235255,VEGAS DONUTS LTD.,Limited Service Food Establishment,West End,1.0,0.34
95,10,low,24-246752,HUMMINGBIRD & BEAN CAFE CORPORATION,Limited Service Food Establishment,South Cambie,4.0,0.321
96,10,low,24-149403,Yam Yam Foods Ltd,Restaurant,West Point Grey,6.0,0.314
97,10,low,24-243754,1476638 BC Ltd,Restaurant,Riley Park,25.0,0.306
98,10,low,24-148484,Akaike Enterprises Ltd,Restaurant,West Point Grey,3.0,0.298
99,10,low,24-149198,Addah Inc,Restaurant,Strathcona,3.0,0.295
100,10,low,24-129111,TopGain Catering Ltd,Limited Service Food Establishment,Kerrisdale,10.0,0.285
101,11,low,24-148644,Vij's Lantern Inc,Restaurant,Mount Pleasant,50.0,0.277
102,11,low,24-273652,Korean Kim's Chicken Restaurant Ltd,Restaurant,West Point Grey,4.0,0.272
103,11,low,24-238111,Vancouver Sushi Inc,Restaurant,Fairview,4.0,0.272
104,11,low,24-149188,Canwell Enterprises Ltd,Restaurant,South Cambie,4.0,0.272
105,11,low,24-251463,Cactus Cafe English Bay Ltd,Restaurant,West End,100.0,0.271
106,11,low,24-153988,(Ruth Huberman),Wholesale Dealer - Food,Oakridge,1.0,0.27
107,11,low,24-189709,Jordi Pamblanco Esteve (Jordi Esteve),Wholesale Dealer - Food,South Cambie,1.0,0.27
108,11,low,24-256876,(Zhicheng Xu),Wholesale Dealer - Food,South Cambie,1.0,0.27
109,11,low,24-153995,Newstar Enterprises International Ltd,Wholesale Dealer - Food,Marpole,3.0,0.265
110,11,low,24-148273,0794479 BC Ltd,Restaurant,Marpole,45.0,0.263
